id,wgt,ethnicity,racegroup,state,gender,education,nativity1,nativity2,legality,income1,income2,age1,age2,reg,vote,voteres,party,partycloser1,partycloser2,favorbo,favordt,favorhc,contact1,contact2,e1,e2,e3,e4,e5,e6,i1,i2,i3,i4,mi1,mi2,mi3,mi4,mi5,mi6,mi7,mi8,mi9,ma1,ma2,ma3,ma4,ma5,ma6,ma7,identity
0800000527,754.9412547,(13) Samoan,(2) Pacific Islander,HI               ,(2) Female,(3) High school degree/GED,NA,NA,(1) U.S. Citizen,"(2) $20,000 to $50,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(2) Republican,NA,NA,(4) Very favorable,(3) Somewhat favorable,(3) Somewhat favorable,(2) No,(2) No,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(1) Strongly agree,(1) Strongly agree,(1) Yes,(1) Yes,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0600000499,2195.5921053,(04) Filipino,(2) Pacific Islander,HI               ,(2) Female,"(2) Some schooling, no high school degree/GED",NA,NA,NA,"(2) $20,000 to $50,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(3) Somewhat favorable,(1) Very unfavorable,(4) Very favorable,(1) Yes,(2) No,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(4) Somewhat disagree,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(1) Strongly agree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0800000751,636.9540177,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,(3) High school degree/GED,NA,NA,NA,"(4) $75,000 to $100,000",NA,(2) 35 or above,NA,(2) Not registered,(2) No,NA,(2) Republican,NA,(2) Closer to the Democratic party,(4) Very favorable,(1) Very unfavorable,(3) Somewhat favorable,(2) No,(2) No,(2) Somewhat agree,(2) Somewhat agree,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(3) Neither,(3) Neither,(2) Somewhat agree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0800000616,754.9412547,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,(3) High school degree/GED,NA,NA,(1) U.S. Citizen,"(2) $20,000 to $50,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(2) No,NA,(1) Democrat,NA,NA,(4) Very favorable,(3) Somewhat favorable,(3) Somewhat favorable,(1) Yes,(1) Yes,(2) Somewhat agree,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(1) Strongly agree,(5) Strongly disagree,(5) Strongly disagree,NA,(1) Strongly agree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0800000240,205.4590354,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,(5) College degree or Bachelor's degree,NA,NA,NA,"(4) $75,000 to $100,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(4) Very favorable,(1) Very unfavorable,(4) Very favorable,(1) Yes,(2) No,(2) Somewhat agree,(2) Somewhat agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(1) Yes,(2) No,(1) Yes,(2) No,(2) No,(2) No,NA,NA
0650000146,1634.4238431,(12) Native Hawaiian,(2) Pacific Islander,CA               ,(2) Female,"(4) Some college, but no degree",NA,NA,NA,"(2) $20,000 to $50,000",NA,(1) Below age 35,NA,"(1) Yes, registered",(1) Yes,NA,(2) Republican,NA,NA,(3) Somewhat favorable,(5) No opinion,(1) Very unfavorable,(2) No,(2) No,(4) Somewhat disagree,(2) Somewhat agree,(4) Somewhat disagree,(2) Somewhat agree,(1) Strongly agree,NA,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(5) Strongly disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,NA,NA
0800000127,636.9540177,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,(3) High school degree/GED,NA,NA,NA,"(2) $20,000 to $50,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(4) Very favorable,(5) No opinion,(3) Somewhat favorable,(2) No,(1) Yes,(3) Neither,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(3) Neither,(1) Strongly agree,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(1) Yes,NA,NA
0850000375,205.4590354,(03) Chinese,(2) Pacific Islander,HI               ,(2) Female,"(4) Some college, but no degree",NA,NA,NA,"(4) $75,000 to $100,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,NA,(1) Democrat,NA,NA,(4) Very favorable,(1) Very unfavorable,(3) Somewhat favorable,(2) No,(2) No,(3) Neither,(3) Neither,(2) Somewhat agree,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(4) Somewhat disagree,(5) Strongly disagree,(5) Strongly disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0600000571,636.9540177,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,(3) High school degree/GED,NA,NA,NA,"(2) $20,000 to $50,000",NA,(2) 35 or above,NA,(2) Not registered,NA,NA,(2) Republican,NA,(2) Closer to the Democratic party,(4) Very favorable,(1) Very unfavorable,(4) Very favorable,(1) Yes,(1) Yes,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(1) Strongly agree,(5) Strongly disagree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(5) Strongly disagree,(4) Somewhat disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,NA,NA
0800000265,183.5054734,(03) Chinese,(2) Pacific Islander,HI               ,(1) Male,(6) Graduate or Professional degree,NA,NA,NA,"(5) $100,000 to $125,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(2) Republican,NA,(2) Closer to the Democratic party,(4) Very favorable,(1) Very unfavorable,(3) Somewhat favorable,(1) Yes,(2) No,(2) Somewhat agree,(1) Strongly agree,(4) Somewhat disagree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(5) Strongly disagree,(5) Strongly disagree,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(2) No,(1) Yes,(2) No,(1) Yes,(1) Yes,(2) No,(1) Yes,(1) Yes,(2) No,(2) No,NA,NA
0600000505,636.9540177,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,(3) High school degree/GED,NA,NA,NA,"(2) $20,000 to $50,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(2) No,NA,(1) Democrat,NA,NA,(4) Very favorable,(1) Very unfavorable,(4) Very favorable,(1) Yes,(2) No,(4) Somewhat disagree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(4) Somewhat disagree,(3) Neither,(3) Neither,(1) Strongly agree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0800000175,561.8609328,(13) Samoan,(2) Pacific Islander,CA               ,(2) Female,"(4) Some college, but no degree",NA,NA,NA,NA,NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(4) Very favorable,(3) Somewhat favorable,(4) Very favorable,NA,(2) No,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,NA,(5) Strongly disagree,(5) Strongly disagree,(5) Strongly disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0800000417,665.9381773,(13) Samoan,(2) Pacific Islander,CA               ,(2) Female,(5) College degree or Bachelor's degree,NA,NA,(1) U.S. Citizen,"(6) $125,000 to $250,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(4) Very favorable,(1) Very unfavorable,(4) Very favorable,(2) No,(2) No,(2) Somewhat agree,(2) Somewhat agree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(1) Strongly agree,(2) Somewhat agree,(5) Strongly disagree,(2) Somewhat agree,(2) Somewhat agree,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0650000294,501.82537,(07) Japanese,(2) Pacific Islander,CA               ,(1) Male,(6) Graduate or Professional degree,NA,NA,NA,"(6) $125,000 to $250,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(4) Very favorable,(3) Somewhat favorable,(3) Somewhat favorable,(1) Yes,(2) No,(4) Somewhat disagree,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(5) Strongly disagree,(4) Somewhat disagree,(5) Strongly disagree,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0800000254,183.5054734,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(1) Male,"(4) Some college, but no degree",NA,NA,NA,"(2) $20,000 to $50,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(5) Some other candidate,(1) Democrat,NA,(1) Closer to the Republican Party,(2) Somewhat unfavorable,(3) Somewhat favorable,(2) Somewhat unfavorable,(2) No,(2) No,(1) Strongly agree,(4) Somewhat disagree,(1) Strongly agree,(3) Neither,(4) Somewhat disagree,(3) Neither,(1) Strongly agree,(3) Neither,(2) Somewhat agree,(5) Strongly disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0650000283,530.6743135,(12) Native Hawaiian,(2) Pacific Islander,NV               ,(2) Female,"(4) Some college, but no degree",NA,NA,NA,"(2) $20,000 to $50,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(4) Very favorable,(1) Very unfavorable,(4) Very favorable,(1) Yes,(1) Yes,(3) Neither,(3) Neither,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(3) Neither,(1) Strongly agree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(1) Yes,(2) No,(1) Yes,(2) No,(1) Yes,(2) No,(2) No,NA,NA
1350000158,969.3592626,(13) Samoan,(2) Pacific Islander,[MASKED BY ICPSR],(1) Male,(5) College degree or Bachelor's degree,NA,NA,NA,"(7) $250,000 and over",NA,(1) Below age 35,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(2) Republican,NA,(2) Closer to the Democratic party,(4) Very favorable,(1) Very unfavorable,(2) Somewhat unfavorable,(1) Yes,(2) No,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,NA,NA
0600000525,205.4590354,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,(6) Graduate or Professional degree,NA,NA,NA,"(3) $50,000 to $75,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(3) Somewhat favorable,(2) Somewhat unfavorable,(2) Somewhat unfavorable,(2) No,(2) No,(5) Strongly disagree,(2) Somewhat agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(4) Somewhat disagree,(2) Somewhat agree,(2) Somewhat agree,(5) Strongly disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0800000206,568.8946623,(03) Chinese,(2) Pacific Islander,HI               ,(1) Male,(3) High school degree/GED,NA,NA,NA,"(3) $50,000 to $75,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(5) Some other candidate,(2) Republican,NA,NA,(2) Somewhat unfavorable,(3) Somewhat favorable,(1) Very unfavorable,(2) No,(2) No,(5) Strongly disagree,(5) Strongly disagree,(5) Strongly disagree,(5) Strongly disagree,(5) Strongly disagree,(5) Strongly disagree,(1) Strongly agree,(5) Strongly disagree,(5) Strongly disagree,(5) Strongly disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0600000431,1459.7835549,(13) Samoan,(2) Pacific Islander,CA               ,(1) Male,"(4) Some college, but no degree",NA,NA,NA,"(5) $100,000 to $125,000",NA,(1) Below age 35,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(2) Republican,NA,(2) Closer to the Democratic party,(4) Very favorable,(1) Very unfavorable,(4) Very favorable,(2) No,(2) No,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(3) Neither,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0850000152,5066.960581,(12) Native Hawaiian,(2) Pacific Islander,CA               ,(2) Female,(3) High school degree/GED,NA,NA,NA,"(5) $100,000 to $125,000",NA,(1) Below age 35,NA,"(1) Yes, registered",(2) No,NA,(3) Independent,NA,(3) Closer to neither party,(5) No opinion,(5) No opinion,(5) No opinion,(2) No,(2) No,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0600000366,636.9540177,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,(3) High school degree/GED,NA,NA,NA,"(2) $20,000 to $50,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(4) Very favorable,(1) Very unfavorable,(3) Somewhat favorable,(2) No,(2) No,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,NA,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,NA,(5) Strongly disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0800000314,1654.8845916,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(1) Male,(3) High school degree/GED,NA,NA,NA,"(4) $75,000 to $100,000",NA,(1) Below age 35,NA,(2) Not registered,(2) No,NA,(1) Democrat,NA,NA,(3) Somewhat favorable,(3) Somewhat favorable,(2) Somewhat unfavorable,(2) No,(2) No,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(5) Strongly disagree,(2) Somewhat agree,(5) Strongly disagree,(5) Strongly disagree,(2) Somewhat agree,(5) Strongly disagree,(2) Somewhat agree,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(1) Yes,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0600000429,183.5054734,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(1) Male,"(4) Some college, but no degree",NA,NA,NA,"(3) $50,000 to $75,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(2) Trump,(2) Republican,NA,NA,(1) Very unfavorable,(3) Somewhat favorable,(1) Very unfavorable,(1) Yes,(2) No,(3) Neither,(3) Neither,(4) Somewhat disagree,(4) Somewhat disagree,(1) Strongly agree,(3) Neither,(2) Somewhat agree,(4) Somewhat disagree,(3) Neither,(4) Somewhat disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0600000201,205.4590354,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,(5) College degree or Bachelor's degree,NA,NA,NA,"(6) $125,000 to $250,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(4) Very favorable,(1) Very unfavorable,(4) Very favorable,(1) Yes,(2) No,(1) Strongly agree,NA,(1) Strongly agree,(4) Somewhat disagree,(5) Strongly disagree,NA,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(1) Strongly agree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,NA,NA
0450000222,1937.1790623,(06) Indian,(2) Pacific Islander,CA               ,(2) Female,(6) Graduate or Professional degree,NA,NA,(1) U.S. Citizen,"(5) $100,000 to $125,000",NA,(1) Below age 35,NA,"(1) Yes, registered",(1) Yes,(5) Some other candidate,(1) Democrat,NA,NA,(4) Very favorable,(2) Somewhat unfavorable,(3) Somewhat favorable,(2) No,(2) No,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA
0300000322,1741.8536878,(12) Native Hawaiian,(9) Multiracial American,CA               ,(2) Female,(3) High school degree/GED,NA,NA,NA,"(4) $75,000 to $100,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(2) Trump,(1) Democrat,NA,(1) Closer to the Republican Party,(1) Very unfavorable,(4) Very favorable,(1) Very unfavorable,(2) No,(2) No,(4) Somewhat disagree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(1) Strongly agree,(4) Somewhat disagree,(1) Strongly agree,(3) Neither,(3) Neither,(5) Strongly disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,NA,NA
