"year","case_id","weight","weight_cumulative","state","st","cd","dist","dist_up","cong","cong_up","zipcode","county_fips","tookpost","weight_post","rvweight","rvweight_post","starttime","age","gender","party","race","familyincome","college_grad_prob","married_prob","pid3","pid3_leaner","pid7","ideo5","birthyr","race0","hispanic","educ","faminc","marstat","economy_retro","newsint","approval_pres","approval_rep","approval_sen1","approval_sen2","approval_gov","intent_pres_08","intent_pres_12","intent_pres_16","voted_pres_08","voted_pres_12","voted_pres_16","vv_regstatus","vv_party_gen","vv_party_prm","vv_turnout_gvm","vv_turnout_pvm","intent_rep","intent_rep_party","voted_rep","voted_rep_party","intent_gov","intent_gov_party","voted_gov","voted_gov_party","intent_sen","intent_sen_party","voted_sen","voted_sen_party","intent_rep_chosen","intent_sen_chosen","intent_gov_chosen","voted_rep_chosen","voted_sen_chosen","voted_gov_chosen","rep_current","rep_icpsr","sen1_current","sen1_icpsr","sen2_current","sen2_icpsr","gov_current"
2016,301366673,1.56559555820694,0.79491539178309,"North Carolina","NC","NC-6",6,6,114,115,27301,37081,"Took Post-Election Survey",0.970007203043149,NA,NA,"28sep2016 09:22:57",68,"F","NPA","C",35000,0,1,"Not Sure","Independent (Excluding Leaners)","Independent","Moderate",1948,"White","No","High School Graduate","30k - 40k","Domestic Partnership","Stayed About The Same","Most Of The Time","Strongly Approve","Never Heard / Not Sure","Strongly Disapprove","Approve / Somewhat Approve","Strongly Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"Barack Obama","Hilary Clinton","Active","No Party Affiliation","No Record Of Party Registration","Voted","No Record Of Voting","I'm Not Sure","","I Did Not Vote In This Race","","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Other / Candidate 3]","Libertarian","[Other / Candidate 3]","Libertarian","","Sean Haugh (L)","Roy Cooper (D)","","Sean Haugh (L)","Roy Cooper (D)","Mark Walker (R)",21543,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301386533,1.39525109008932,0.708424702088695,"North Carolina","NC","NC-10",10,10,114,115,28164,37071,"Took Post-Election Survey",1.22586972387643,NA,NA,"28sep2016 17:20:48",75,"F","NPA","C",35000,0,1,"Republican","Republican (Including Leaners)","Strong Republican","Very Conservative",1941,"White","No","High School Graduate","30k - 40k","Married","Gotten Worse / Somewhat Worse","Most Of The Time","Strongly Disapprove","Strongly Approve","Strongly Approve","Strongly Approve","Strongly Approve",NA,NA,"Donald Trump (Republican)",NA,"Mitt Romney","Donald Trump","Unregistered","Unknown","No Record Of Party Registration","No Record Of Voting","No Record Of Voting","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","Patrick McHenry (R)","Richard Burr (R)","Pat McCrory (R)","Patrick McHenry (R)","Richard Burr (R)","Pat McCrory (R)","Patrick McHenry (R)",20522,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301400497,0.886740345085955,0.45023348790742,"North Carolina","NC","NC-4",4,4,114,115,27514,37135,"Took Post-Election Survey",0.678050623043287,NA,NA,"28sep2016 16:45:37",78,"F","DEM","C",65000,1,1,"Democrat","Democrat (Including Leaners)","Strong Democrat","Liberal",1938,"White","No","Post-Grad","60k - 70k","Married","Gotten Better / Somewhat Better","Most Of The Time","Strongly Approve","Strongly Approve","Strongly Disapprove","Strongly Disapprove","Strongly Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"Barack Obama","Hilary Clinton","Active","Democratic Party","Democratic Party","Voted","Voted","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","David Price (D)","Deborah K. Ross (D)","Roy Cooper (D)","David Price (D)","Deborah K. Ross (D)","Roy Cooper (D)","David Price (D)",15438,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301400590,1.1421506756103,0.57991551331297,"North Carolina","NC","NC-11",11,11,114,115,28786,37087,"Took Post-Election Survey",1.01395813087034,NA,NA,"28sep2016 18:34:39",55,"F","NPA","C",65000,1,1,"Republican","Republican (Including Leaners)","Not Very Strong Republican","Conservative",1961,"White","No","4-Year","60k - 70k","Married","Stayed About The Same","Some Of The Time","Strongly Disapprove","Strongly Approve","Disapprove / Somewhat Disapprove","Disapprove / Somewhat Disapprove","Approve / Somewhat Approve",NA,NA,"Donald Trump (Republican)",NA,"Mitt Romney","Donald Trump","No Record Of Registration","No Record Of Party Registration","No Record Of Party Registration","No Record Of Voting","No Record Of Voting","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","I'm Not Sure","","[Republican / Candidate 2]","Republican","Mark Meadows (R)","","Pat McCrory (R)","Mark Meadows (R)","Richard Burr (R)","Pat McCrory (R)","Mark Meadows (R)",21348,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301400643,0.370217219903537,0.187974068310155,"North Carolina","NC","NC-10",10,10,114,115,28711,37021,"Took Post-Election Survey",0.438405344756124,NA,NA,"28sep2016 16:23:52",52,"M","NPA","M",15000,0,0,"Not Sure","Independent (Excluding Leaners)","Independent","Not Sure",1964,"Other","No","Some College","10k - 20k","Single / Never Married","Gotten Worse / Somewhat Worse","Most Of The Time","Strongly Disapprove","Never Heard / Not Sure","Never Heard / Not Sure","Never Heard / Not Sure","Strongly Disapprove",NA,NA,"Jill Stein (Green)",NA,"","","No Record Of Registration","No Record Of Party Registration","No Record Of Party Registration","No Record Of Voting","No Record Of Voting","I'm Not Sure","","","","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Other / Candidate 3]","Libertarian","","","","Sean Haugh (L)","Roy Cooper (D)","","","Roy Cooper (D)","Patrick McHenry (R)",20522,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301401042,1.09059993672636,0.553741144344034,"North Carolina","NC","NC-2",2,8,114,115,27242,37125,"Took Post-Election Survey",0.925962883951813,NA,NA,"28sep2016 17:52:27",56,"M","REP","C",35000,0,0,"Republican","Republican (Including Leaners)","Strong Republican","Conservative",1960,"White","No","2-Year","30k - 40k","Divorced","Stayed About The Same","Most Of The Time","Disapprove / Somewhat Disapprove","Approve / Somewhat Approve","Approve / Somewhat Approve","Approve / Somewhat Approve","Strongly Approve",NA,NA,"Donald Trump (Republican)",NA,"Mitt Romney","Donald Trump","Active","Republican Party","No Record Of Party Registration","Voted","No Record Of Voting","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","Richard Hudson (R)","Richard Burr (R)","Pat McCrory (R)","Richard Hudson (R)","Richard Burr (R)","Pat McCrory (R)","Renee Ellmers (R)",21159,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301401398,0.690340577685454,0.350513482168466,"North Carolina","NC","NC-7",7,7,114,115,28462,37019,"Took Post-Election Survey",0.508994450791302,NA,NA,"28sep2016 18:14:10",70,"M","DEM","C",135000,1,1,"Democrat","Democrat (Including Leaners)","Strong Democrat","Moderate",1946,"White","No","4-Year","120k - 150k","Married","Gotten Much Better","Most Of The Time","Strongly Approve","Strongly Disapprove","Strongly Disapprove","Strongly Disapprove","Strongly Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"Barack Obama","Hilary Clinton","Active","Democratic Party","No Record Of Party Registration","Voted","No Record Of Voting","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","J. Wesley Casteen (D)","Deborah K. Ross (D)","Roy Cooper (D)","J. Wesley Casteen (D)","Deborah K. Ross (D)","Roy Cooper (D)","David Rouzer (R)",21544,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301401406,0.459661566689705,0.233388535409014,"North Carolina","NC","NC-11",11,11,114,115,28715,37021,"Took Post-Election Survey",0.348404748966298,NA,NA,"28sep2016 16:28:42",65,"M","NPA","C",110000,1,1,"Independent","Democrat (Including Leaners)","Lean Democrat","Liberal",1951,"White","No","Post-Grad","100k - 120k","Married","Gotten Better / Somewhat Better","Most Of The Time","Strongly Approve","Strongly Disapprove","Strongly Disapprove","Strongly Disapprove","Strongly Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"Barack Obama","Hilary Clinton","Active","No Party Affiliation","Democratic Party","Voted","Voted","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","Rick Bryson (D)","Deborah K. Ross (D)","Roy Cooper (D)","Rick Bryson (D)","Deborah K. Ross (D)","Roy Cooper (D)","Mark Meadows (R)",21348,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301401602,0.728885937436917,0.370084500741964,"North Carolina","NC","NC-7",7,7,114,115,28463,37047,"Did Not Take Post-Election Survey",NA,NA,NA,"28sep2016 16:50:14",28,"F","NPA","C",5000,0,1,"Not Sure","Not Sure","Not Sure","Not Sure",1988,"White","No","High School Graduate","Less than 10k","Married","Gotten Worse / Somewhat Worse","Hardly At All","Never Heard / Not Sure","Never Heard / Not Sure","Never Heard / Not Sure","Never Heard / Not Sure","Never Heard / Not Sure",NA,NA,"I Won't Vote In This Election",NA,"","","No Record Of Registration","No Record Of Party Registration","No Record Of Party Registration","No Record Of Voting","No Record Of Voting","No One","","","","No One","","I Did Not Vote In This Race","","No One","","","","","","","","","","David Rouzer (R)",21544,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301401628,0.443978403623908,0.22542556716508,"North Carolina","NC","NC-4",4,4,114,115,27606,37183,"Took Post-Election Survey",0.43752813186487,NA,NA,"28sep2016 16:07:03",64,"F","DEM","B",90000,1,1,"Democrat","Democrat (Including Leaners)","Not Very Strong Democrat","Moderate",1952,"Black","No","Post-Grad","80k - 100k","Married","Stayed About The Same","Most Of The Time","Strongly Approve","Approve / Somewhat Approve","Disapprove / Somewhat Disapprove","Strongly Disapprove","Disapprove / Somewhat Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"Barack Obama","Hilary Clinton","Active","Democratic Party","Democratic Party","Voted","Voted","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","","","David Price (D)","Deborah K. Ross (D)","Roy Cooper (D)","David Price (D)","","Roy Cooper (D)","David Price (D)",15438,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301403256,0.97320448271606,0.494134783793913,"North Carolina","NC","NC-7",7,7,114,115,28467,37019,"Took Post-Election Survey",0.68277606132317,NA,NA,"28sep2016 16:43:01",63,"F","DEM","C",75000,0,1,"Democrat","Democrat (Including Leaners)","Strong Democrat","Conservative",1953,"White","No","2-Year","70k - 80k","Married","Gotten Much Worse","Some Of The Time","Strongly Disapprove","Strongly Disapprove","Strongly Disapprove","Strongly Disapprove","Strongly Disapprove",NA,NA,"I'm Not Sure",NA,"Barack Obama","Hilary Clinton","Active","Democratic Party","No Record Of Party Registration","Voted","No Record Of Voting","I'm Not Sure","","[Democrat / Candidate 1]","Democratic","I'm Not Sure","","[Democrat / Candidate 1]","Democratic","I'm Not Sure","","[Democrat / Candidate 1]","Democratic","","","","J. Wesley Casteen (D)","Deborah K. Ross (D)","Roy Cooper (D)","David Rouzer (R)",21544,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301403576,1.03007219996963,0.52300879503102,"North Carolina","NC","NC-6",6,13,114,115,27410,37081,"Took Post-Election Survey",0.738509953023481,NA,NA,"28sep2016 16:38:22",68,"F","DEM","C",65000,0,1,"Republican","Republican (Including Leaners)","Strong Republican","Conservative",1948,"White","No","Some College","60k - 70k","Married","Gotten Better / Somewhat Better","Most Of The Time","Disapprove / Somewhat Disapprove","Approve / Somewhat Approve","Disapprove / Somewhat Disapprove","Never Heard / Not Sure","Disapprove / Somewhat Disapprove",NA,NA,"Donald Trump (Republican)",NA,"Mitt Romney","Donald Trump","Active","Democratic Party","No Record Of Party Registration","Voted","No Record Of Voting","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Republican / Candidate 2]","Republican","Ted Budd (R)","Deborah K. Ross (D)","Roy Cooper (D)","Ted Budd (R)","Richard Burr (R)","Roy Cooper (D)","Mark Walker (R)",21543,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301404537,0.783297353474522,0.39771134975177,"North Carolina","NC","NC-10",10,10,114,115,28601,37035,"Took Post-Election Survey",0.577947280606969,NA,NA,"28sep2016 18:31:19",59,"F","REP","C",15000,0,1,"Republican","Republican (Including Leaners)","Strong Republican","Very Conservative",1957,"White","No","2-Year","10k - 20k","Married","Gotten Much Worse","Some Of The Time","Strongly Disapprove","Approve / Somewhat Approve","Approve / Somewhat Approve","Approve / Somewhat Approve","Approve / Somewhat Approve",NA,NA,"Donald Trump (Republican)",NA,"Mitt Romney","Donald Trump","Active","Republican Party","No Record Of Party Registration","Voted","No Record Of Voting","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Democrat / Candidate 1]","Democratic","No One","","[Democrat / Candidate 1]","Democratic","Patrick McHenry (R)","","Pat McCrory (R)","Patrick McHenry (R)","Deborah K. Ross (D)","Roy Cooper (D)","Patrick McHenry (R)",20522,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301404783,0.887758135417239,0.450750260707205,"North Carolina","NC","NC-4",4,1,114,115,27707,37063,"Took Post-Election Survey",0.670694524182473,NA,NA,"28sep2016 18:27:57",73,"F","NPA","C",135000,0,0,"Democrat","Democrat (Including Leaners)","Strong Democrat","Liberal",1943,"White","No","Some College","120k - 150k","Divorced","Gotten Better / Somewhat Better","Most Of The Time","Strongly Approve","Approve / Somewhat Approve","Strongly Disapprove","Disapprove / Somewhat Disapprove","Strongly Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"Barack Obama","Hilary Clinton","No Record Of Registration","No Record Of Party Registration","No Record Of Party Registration","No Record Of Voting","No Record Of Voting","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","G.K. Butterfield (D)","Deborah K. Ross (D)","Roy Cooper (D)","G.K. Butterfield (D)","Deborah K. Ross (D)","Roy Cooper (D)","David Price (D)",15438,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
